# byte-enigma score histogram
lo=-2200.0
hi=-1500.0
binWidth=0.1
counted=4294967296
under=0
over=0
lowest=-1851.7414920119795
highest=-1620.3751350171704
3482	-1851.8000	4249795476
3507	-1849.3000	3921530
3508	-1849.2000	2575416
3509	-1849.1000	2163168
3510	-1849.0000	1785242
3511	-1848.9000	2926393
3512	-1848.8000	3323772
3513	-1848.7000	1609062
3514	-1848.6000	2632285
3515	-1848.5000	1979101
3516	-1848.4000	2233630
3517	-1848.3000	2096631
3518	-1848.2000	2167586
3519	-1848.1000	1882589
3520	-1848.0000	1604565
3521	-1847.9000	1625651
3522	-1847.8000	1520850
3523	-1847.7000	1348253
3524	-1847.6000	1180713
3525	-1847.5000	1020467
3526	-1847.4000	760525
3527	-1847.3000	719754
3528	-1847.2000	552513
3529	-1847.1000	402823
3530	-1847.0000	307110
3531	-1846.9000	186383
3532	-1846.8000	135471
3533	-1846.7000	114820
3534	-1846.6000	100267
3535	-1846.5000	95237
3536	-1846.4000	61024
3537	-1846.3000	46322
3538	-1846.2000	66017
3539	-1846.1000	65360
3540	-1846.0000	54994
3541	-1845.9000	62811
3542	-1845.8000	71114
3543	-1845.7000	66259
3544	-1845.6000	71119
3545	-1845.5000	72253
3546	-1845.4000	77145
3547	-1845.3000	76768
3548	-1845.2000	78064
3549	-1845.1000	83996
3550	-1845.0000	82417
3551	-1844.9000	82273
3552	-1844.8000	78459
3553	-1844.7000	77320
3554	-1844.6000	73703
3555	-1844.5000	69191
3556	-1844.4000	67145
3557	-1844.3000	62249
3558	-1844.2000	60377
3559	-1844.1000	52602
3560	-1844.0000	51512
3561	-1843.9000	45345
3562	-1843.8000	43711
3563	-1843.7000	38815
3564	-1843.6000	35498
3565	-1843.5000	33672
3566	-1843.4000	28768
3567	-1843.3000	27597
3568	-1843.2000	23900
3569	-1843.1000	20004
3570	-1843.0000	17633
3571	-1842.9000	14795
3572	-1842.8000	13334
3573	-1842.7000	11838
3574	-1842.6000	11033
3575	-1842.5000	8942
3576	-1842.4000	7478
3577	-1842.3000	6885
3578	-1842.2000	6273
3579	-1842.1000	5452
3580	-1842.0000	4992
3581	-1841.9000	4700
3582	-1841.8000	4376
3583	-1841.7000	3931
3584	-1841.6000	3854
3585	-1841.5000	3630
3586	-1841.4000	3374
3587	-1841.3000	3408
3588	-1841.2000	3384
3589	-1841.1000	3285
3590	-1841.0000	3194
3591	-1840.9000	2981
3592	-1840.8000	2717
3593	-1840.7000	2823
3594	-1840.6000	2696
3595	-1840.5000	2682
3596	-1840.4000	2451
3597	-1840.3000	2328
3598	-1840.2000	2194
3599	-1840.1000	2039
3600	-1840.0000	1967
3601	-1839.9000	1747
3602	-1839.8000	1611
3603	-1839.7000	1487
3604	-1839.6000	1431
3605	-1839.5000	1316
3606	-1839.4000	1221
3607	-1839.3000	1119
3608	-1839.2000	1000
3609	-1839.1000	884
3610	-1839.0000	811
3611	-1838.9000	769
3612	-1838.8000	673
3613	-1838.7000	596
3614	-1838.6000	510
3615	-1838.5000	489
3616	-1838.4000	464
3617	-1838.3000	467
3618	-1838.2000	382
3619	-1838.1000	328
3620	-1838.0000	308
3621	-1837.9000	263
3622	-1837.8000	261
3623	-1837.7000	200
3624	-1837.6000	222
3625	-1837.5000	200
3626	-1837.4000	169
3627	-1837.3000	182
3628	-1837.2000	163
3629	-1837.1000	155
3630	-1837.0000	162
3631	-1836.9000	122
3632	-1836.8000	134
3633	-1836.7000	113
3634	-1836.6000	112
3635	-1836.5000	87
3636	-1836.4000	92
3637	-1836.3000	98
3638	-1836.2000	85
3639	-1836.1000	66
3640	-1836.0000	80
3641	-1835.9000	75
3642	-1835.8000	67
3643	-1835.7000	52
3644	-1835.6000	72
3645	-1835.5000	56
3646	-1835.4000	45
3647	-1835.3000	45
3648	-1835.2000	36
3649	-1835.1000	35
3650	-1835.0000	48
3651	-1834.9000	36
3652	-1834.8000	39
3653	-1834.7000	28
3654	-1834.6000	26
3655	-1834.5000	13
3656	-1834.4000	27
3657	-1834.3000	27
3658	-1834.2000	21
3659	-1834.1000	17
3660	-1834.0000	19
3661	-1833.9000	13
3662	-1833.8000	6
3663	-1833.7000	12
3664	-1833.6000	12
3665	-1833.5000	9
3666	-1833.4000	6
3667	-1833.3000	8
3668	-1833.2000	7
3669	-1833.1000	9
3670	-1833.0000	7
3671	-1832.9000	6
3672	-1832.8000	7
3673	-1832.7000	5
3674	-1832.6000	3
3675	-1832.5000	2
3677	-1832.3000	6
3678	-1832.2000	3
3679	-1832.1000	5
3680	-1832.0000	6
3681	-1831.9000	2
3682	-1831.8000	4
3683	-1831.7000	1
3684	-1831.6000	3
3685	-1831.5000	3
3686	-1831.4000	3
3687	-1831.3000	1
3688	-1831.2000	2
3689	-1831.1000	3
3690	-1831.0000	2
3691	-1830.9000	3
3693	-1830.7000	3
3694	-1830.6000	2
3698	-1830.2000	1
3699	-1830.1000	1
3701	-1829.9000	2
3704	-1829.6000	1
3705	-1829.5000	1
3706	-1829.4000	1
3710	-1829.0000	1
3715	-1828.5000	1
3717	-1828.3000	1
3720	-1828.0000	1
3732	-1826.8000	1
5796	-1620.4000	1
